word,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
economic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.841351305622922,20.74564040889958,27.531810402559714,0,0,21.97085672166468,0,0,0
new,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.58541537420337,0,24.555398467147853,37.51867445334782,48.769563810993056,29.34172478312638,39.491610188490526,36.10600177123782,41.026521328641316
action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.483503468501496,0,0,0,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.791551519936833,0,0,0,0,0,0,0,0
problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.227567537081947,0,0,0,0,0,0,0,0
production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.346963319302464,0,0,0,0,0,0,0
program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.039687312086592,33.335813676612844,28.52098329485264,29.112443703500958,36.429097919147246,0,0,0
security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.13770294648226,22.620730709130143,0,0,0,0,23.162340758907284,0
freedom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.837041491280818,0,0,0,0,0,19.074868860276585,0
free,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.526378450777585,17.8256145592829,0,0,0,0,0
military,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.85303966068904,0,0,0,0,0,0
defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.91837190267133,0,0,0,0,0,0
effort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.388421757571248,18.844221105527637,0,0,0,0,0
strength,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.346677580177097,0,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.197856983406503,16.297704739915794,0,23.104836423428022,0,0,0
