pres_1,pres_2,sim,pres_1_party,pres_2_party
8,20,0.0,Democratic,Republican
8,21,0.985917909931466,Democratic,Republican
8,22,0.9958528520792117,Democratic,Democratic
8,23,0.9964186305544049,Democratic,Republican
8,24,0.9891368792864114,Democratic,Republican
8,25,0.9962768591364057,Democratic,Republican
8,26,0.9916380035294686,Democratic,Republican
8,27,0.9861052343178524,Democratic,Democratic
8,28,0.9878344573070725,Democratic,Republican
8,29,0.9924344931099863,Democratic,Republican
8,30,0.9886205230084375,Democratic,Republican
8,31,0.9870095960333781,Democratic,Democratic
8,32,0.981738284922033,Democratic,Democratic
8,33,0.9829895056194425,Democratic,Republican
8,34,0.9814839014669138,Democratic,Democratic
8,35,0.9676464157139237,Democratic,Democratic
8,36,0.9810627716481646,Democratic,Republican
8,37,0.9764299641686189,Democratic,Republican
8,38,0.9732605766821077,Democratic,Democratic
8,39,0.9670294000289741,Democratic,Republican
8,40,0.9520455805632,Democratic,Republican
8,41,0.9448733607618813,Democratic,Democratic
8,42,0.96332955131863,Democratic,Republican
8,43,0.9470220678045037,Democratic,Democratic
8,44,0.9578717103621655,Democratic,Republican
9,1,0.0,Whig,Unaffiliated
9,2,0.0,Whig,Federalist
9,3,0.0,Whig,Democratic-Republican
9,4,0.0,Whig,Democratic-Republican
9,5,0.0,Whig,Democratic-Republican
9,6,0.0,Whig,Democratic-Republican
9,7,0.0,Whig,Democratic
9,8,0.0,Whig,Democratic
9,9,1.0,Whig,Whig
9,10,0.0,Whig,Whig
9,11,0.0,Whig,Democratic
9,12,0.0,Whig,Whig
9,13,0.0,Whig,Whig
9,14,0.0,Whig,Democratic
9,15,0.0,Whig,Democratic
9,16,0.0,Whig,Republican
9,17,0.0,Whig,Democratic
9,18,0.0,Whig,Republican
9,19,0.0,Whig,Republican
9,20,1.0,Whig,Republican
9,21,0.0,Whig,Republican
9,22,0.0,Whig,Democratic
9,23,0.0,Whig,Republican
9,24,0.0,Whig,Republican
9,25,0.0,Whig,Republican
9,26,0.0,Whig,Republican
9,27,0.0,Whig,Democratic
9,28,0.0,Whig,Republican
9,29,0.0,Whig,Republican
9,30,0.0,Whig,Republican
9,31,0.0,Whig,Democratic
9,32,0.0,Whig,Democratic
9,33,0.0,Whig,Republican
9,34,0.0,Whig,Democratic
9,35,0.0,Whig,Democratic
9,36,0.0,Whig,Republican
9,37,0.0,Whig,Republican
9,38,0.0,Whig,Democratic
9,39,0.0,Whig,Republican
9,40,0.0,Whig,Republican
9,41,0.0,Whig,Democratic
9,42,0.0,Whig,Republican
9,43,0.0,Whig,Democratic
9,44,0.0,Whig,Republican
10,1,0.9973135856028261,Whig,Unaffiliated
10,2,0.9960061067847471,Whig,Federalist
10,3,0.9948420934234208,Whig,Democratic-Republican
10,4,0.9964186993068904,Whig,Democratic-Republican
10,5,0.9973699162701574,Whig,Democratic-Republican
10,6,0.99405569752507,Whig,Democratic-Republican
10,7,0.9990388803314628,Whig,Democratic
10,8,0.9978569154210198,Whig,Democratic
10,9,0.0,Whig,Whig
10,10,1.0,Whig,Whig
10,11,0.9965401646110998,Whig,Democratic
10,12,0.9955591478182158,Whig,Whig
10,13,0.9985674560618782,Whig,Whig
10,14,0.9956683634546747,Whig,Democratic
10,15,0.9965331213674369,Whig,Democratic
10,16,0.9946016453844827,Whig,Republican
10,17,0.9956349115297891,Whig,Democratic
10,18,0.9970742420415966,Whig,Republican
10,19,0.9938532463134702,Whig,Republican
10,20,0.0,Whig,Republican
10,21,0.9850718232446568,Whig,Republican
10,22,0.9934513110109487,Whig,Democratic
10,23,0.995454118940609,Whig,Republican
10,24,0.9886212869110548,Whig,Republican
10,25,0.9960639493477025,Whig,Republican
10,26,0.9924770173992629,Whig,Republican
10,27,0.9865356416898483,Whig,Democratic
10,28,0.9877142521166756,Whig,Republican
10,29,0.992974227923765,Whig,Republican
10,30,0.9863720054782362,Whig,Republican
10,31,0.9855823294667474,Whig,Democratic
10,32,0.9815645311598207,Whig,Democratic
10,33,0.9810775128793866,Whig,Republican
10,34,0.9795710347939837,Whig,Democratic
10,35,0.9705210562502953,Whig,Democratic
10,36,0.9838585546053463,Whig,Republican
10,37,0.975178808288604,Whig,Republican
10,38,0.9721981464880696,Whig,Democratic
10,39,0.9688706407388621,Whig,Republican
10,40,0.9549871452659743,Whig,Republican
10,41,0.9488805450508209,Whig,Democratic
10,42,0.9647627967262048,Whig,Republican
10,43,0.950075897667846,Whig,Democratic
10,44,0.9590445650772691,Whig,Republican
11,1,0.9925545740242248,Democratic,Unaffiliated
11,2,0.9956531907349047,Democratic,Federalist
11,3,0.990781988077103,Democratic,Democratic-Republican
11,4,0.9944040265798247,Democratic,Democratic-Republican
11,5,0.9975085021750852,Democratic,Democratic-Republican
11,6,0.9958504659410949,Democratic,Democratic-Republican
11,7,0.9973147982430478,Democratic,Democratic
11,8,0.9963247189969353,Democratic,Democratic
11,9,0.0,Democratic,Whig
11,10,0.9965401646110998,Democratic,Whig
11,11,1.0,Democratic,Democratic
11,12,0.997018745790534,Democratic,Whig
11,13,0.9985502851813032,Democratic,Whig
11,14,0.9974990128036854,Democratic,Democratic
11,15,0.9981933286709708,Democratic,Democratic
11,16,0.9960382384986698,Democratic,Republican
11,17,0.9978311643571359,Democratic,Democratic
11,18,0.9981600773173982,Democratic,Republican
11,19,0.9956432592325648,Democratic,Republican
11,20,0.0,Democratic,Republican
11,21,0.9902735021039086,Democratic,Republican
11,22,0.9945660353103102,Democratic,Democratic
11,23,0.996844941347152,Democratic,Republican
11,24,0.9945964509763096,Democratic,Republican
11,25,0.9924734143516151,Democratic,Republican
11,26,0.9947723175970783,Democratic,Republican
11,27,0.9806059474536699,Democratic,Democratic
11,28,0.9824322135761024,Democratic,Republican
11,29,0.9901150115517479,Democratic,Republican
11,30,0.9875429206902354,Democratic,Republican
11,31,0.9819739641682753,Democratic,Democratic
11,32,0.9780804593855961,Democratic,Democratic
11,33,0.9798607986429742,Democratic,Republican
11,34,0.976431360308166,Democratic,Democratic
11,35,0.9682659272076322,Democratic,Democratic
11,36,0.9799708776603518,Democratic,Republican
11,37,0.9758968324549013,Democratic,Republican
11,38,0.9771639097945309,Democratic,Democratic
11,39,0.9676076604322452,Democratic,Republican
11,40,0.9523306943680989,Democratic,Republican
11,41,0.9464150026818513,Democratic,Democratic
11,42,0.9659552450342531,Democratic,Republican
11,43,0.9481829114163093,Democratic,Democratic
11,44,0.9655920542084098,Democratic,Republican
12,1,0.9907907250714236,Whig,Unaffiliated
12,2,0.9938525006320791,Whig,Federalist
12,3,0.985907021393028,Whig,Democratic-Republican
12,4,0.9914582828055728,Whig,Democratic-Republican
12,5,0.9939555543300115,Whig,Democratic-Republican
12,6,0.9933610708326267,Whig,Democratic-Republican
12,7,0.9950182723984984,Whig,Democratic
12,8,0.9920256320987604,Whig,Democratic
12,9,0.0,Whig,Whig
12,10,0.9955591478182158,Whig,Whig
12,11,0.997018745790534,Whig,Democratic
12,12,1.0,Whig,Whig
12,13,0.9966753036326731,Whig,Whig
12,14,0.995298759090477,Whig,Democratic
12,15,0.9977236225907185,Whig,Democratic
12,16,0.9917612932526397,Whig,Republican
12,17,0.9945131117277806,Whig,Democratic
12,18,0.9960512071382118,Whig,Republican
12,19,0.9936372472302589,Whig,Republican
12,20,0.0,Whig,Republican
12,21,0.9900649547907575,Whig,Republican
12,22,0.9909950560758729,Whig,Democratic
12,23,0.9942414964249998,Whig,Republican
12,24,0.993918618055027,Whig,Republican
12,25,0.9896841071023978,Whig,Republican
12,26,0.9959166706149005,Whig,Republican
12,27,0.9769833603187178,Whig,Democratic
12,28,0.9798933124863375,Whig,Republican
12,29,0.9880135822693533,Whig,Republican
12,30,0.9849384866547612,Whig,Republican
12,31,0.9793093046644198,Whig,Democratic
12,32,0.9764335287966878,Whig,Democratic
12,33,0.9778968860951389,Whig,Republican
12,34,0.973879931686958,Whig,Democratic
12,35,0.9684766040839167,Whig,Democratic
12,36,0.9800129672921005,Whig,Republican
12,37,0.9733256513693973,Whig,Republican
12,38,0.9766077536427551,Whig,Democratic
12,39,0.9661833848842046,Whig,Republican
12,40,0.9528474868538652,Whig,Republican
12,41,0.9464343004700958,Whig,Democratic
12,42,0.9650553442779739,Whig,Republican
12,43,0.946413921150288,Whig,Democratic
12,44,0.9635573118659445,Whig,Republican
13,1,0.9958397981591357,Whig,Unaffiliated
13,2,0.9972413252363737,Whig,Federalist
13,3,0.9933907048068377,Whig,Democratic-Republican
13,4,0.9970893085216411,Whig,Democratic-Republican
13,5,0.9978276143198355,Whig,Democratic-Republican
13,6,0.9966061219000648,Whig,Democratic-Republican
13,7,0.998679337104551,Whig,Democratic
13,8,0.9984890942401886,Whig,Democratic
13,9,0.0,Whig,Whig
13,10,0.9985674560618782,Whig,Whig
13,11,0.9985502851813032,Whig,Democratic
13,12,0.9966753036326731,Whig,Whig
13,13,1.0,Whig,Whig
13,14,0.9979290081052998,Whig,Democratic
13,15,0.9971679985607886,Whig,Democratic
13,16,0.9962283719312832,Whig,Republican
13,17,0.9978741677924581,Whig,Democratic
13,18,0.9989925629408521,Whig,Republican
13,19,0.9970898773756385,Whig,Republican
13,20,0.0,Whig,Republican
13,21,0.9898542636682753,Whig,Republican
